Marca;Dimensiones;Nombre;Fecha revisión;Recomendado;Puntuación;Texto
Schweppes;;Schweppes Diet Tonic Water, 1 L;;TRUE;;If you drink tonic water, this one is the best tasting and it is great that Walmart now has it available and will ship it to your home. I hope they continue this!
Schweppes;;Schweppes Diet Tonic Water, 1 L;;TRUE;;Schweppes makes a good Diet Tonic. I prefer Canada Dry only because it seems to hold the fizz longer. I don't drink generic, I have not found any of the off-brands that taste good compared to Schweppes and Canada Dry. Please don't stop carrying or even add Canada Dry. The only other thing I suggest is to stock more on the shelves as most of the time there is maybe one or two on the shelf. Sartell Walmart
Schweppes;;Schweppes Diet Tonic Water, 1 L;;TRUE;;I have been trying to cut back on sugar and found this has the best taste , I compared Canada Dry,Polar,Walmart . But I can't find in smaller bottle or cans.
APOTHIC;;Apothic Red Wine, 750 mL;2017-07-19T00:00:00.000Z;sí;5;This is a rich and delicious red wineblend that many will enjoy, its full of dark fruit flavors and zinfindel. The best red blend that i have ever had.
Jim Beam;;Jim Beam Apple Bourbon Whiskey, 1 L;2017-08-10T00:00:00.000Z;sí;5;It's delish! The only suggestion I have is to sell a bigger bottle with a handle.
Jim Beam;;Jim Beam Apple Bourbon Whiskey, 1 L;2017-07-14T00:00:00.000Z;sí;5;I love everything about Jim Beam Apple... The taste is great and it goes down smooth! It's one of the best drinks out there with or without any added mixes....
Jim Beam;;Jim Beam Apple Bourbon Whiskey, 1 L;2017-07-14T00:00:00.000Z;sí;5;I was hesitant to buy Jim Beam Apple, after trying other apple whiskeys, but I was not disappointed! It's so smooth, light and fruity. Very good!
Jim Beam;;Jim Beam Apple Bourbon Whiskey, 1 L;2017-07-14T00:00:00.000Z;sí;3;Very smooth, but very sweet. I would like to know how much sugar is added...
Jim Beam;;Jim Beam Apple Bourbon Whiskey, 1 L;2017-05-28T00:00:00.000Z;sí;5;I mix the Jim Beam apple with a little ginger ale, it is a great summer refreshment.
Jim Beam;;Jim Beam Apple Bourbon Whiskey, 1 L;2017-05-20T00:00:00.000Z;sí;5;It makes the greatest apple bourbon martini
Jim Beam;;Jim Beam Apple Bourbon Whiskey, 1 L;2017-05-08T00:00:00.000Z;sí;5;Outstanding. Smooth. Easy to drink
Jim Beam;;Jim Beam Apple Bourbon Whiskey, 1 L;2017-05-06T00:00:00.000Z;sí;5;The apple Jim Beam is the bomb it's smooth no chaser needed I am hooked.
Jim Beam;;Jim Beam Apple Bourbon Whiskey, 1 L;2017-05-04T00:00:00.000Z;sí;5;This is a great tasting refreshing drink
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Bloody Mary Mix - 750ml Bottle;2017-05-08T02:35:03.000Z;sí;5;Just as good as any good bar Bloody Mary!!!!!
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2017-05-29T00:00:00.000Z;sí;5;if you are trying to save calories and still have a tasty margarita this mix is great. use a few drops of essential lime oil to give a more natural taste though...
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2017-02-25T00:00:00.000Z;sí;5;My wife loves margaritas. And, I have always struggled with How to make the perfect Margarita. But, along comes Jose Cuervo Classic Lime Light Margarita Mix and l feel like a pro. With zero calories zero carbs and zero sugars, the only calories (sugars) are from the alcohol. This mix is the best. Here's my formula: - 2 parts mix - 1 part tequila (I love Logado from Total Wine) - 3 to 4 teaspoons of artificial sweetner - a big splash of Gran Gala Liquer (the drink should become a light amber color) - 1/2 fresh lime juice Mix well and add crushed ice. Voila!
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2016-07-09T00:00:00.000Z;sí;5;Taste great. But never enough in stock at the stores
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2017-02-20T00:00:00.000Z;sí;5;I have been buying this for years. Tastes like homemade without calories. Not as sweet as other mixes
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2016-12-01T00:00:00.000Z;sí;5;Love the taste. Very good.
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2016-09-12T00:00:00.000Z;sí;5;Good refreshing drink and taste great with taco dip! A true summer treat!
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2016-09-19T00:00:00.000Z;sí;5;Tastes great!
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2016-07-17T00:00:00.000Z;sí;4;This is a great product to beat the gain weight vs. no cold Margaritas in the Summer battle ! Good flavor and no calories. I usually squeeze a lime into the pitcher and they taste great !
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2016-07-06T00:00:00.000Z;sí;5;Low price,great taste
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2015-10-30T00:00:00.000Z;sí;5;Tastes great
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2015-09-17T00:00:00.000Z;sí;5;It's a good tasting low cal mixer. You do not have to buy expensive tequila for it to taste good.
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2016-10-13T00:00:00.000Z;sí;3;I didn't like this product when compared to Master of Mixes Lite. Jose Cuervo seemed flat with little or no tartness, and tasted artificial. Don't believe it contains any real lime juice.
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2016-07-17T00:00:00.000Z;sí;4;If the mouth of the bottle was bigger it would make it easier to get the product out after putting in the freezer. I'm sure other people do this making large batches. Once the tequila is mixed in, the mix melts quickly so placing in the freezer would speed up the process IF you could then get it out. Why only 4 stars.
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;2016-08-10T00:00:00.000Z;sí;5;since I started using this product cant hardly drink a margarita made with high calorie mixers. fortunately more folks in my Walmart area are also starting to use and now our local Walmart rarely doesn't have it....
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;FALSE;;I didn't like this product when compared to Master of Mixes Lite. Jose Cuervo seemed flat with little or no tartness, and tasted artificial. Don't believe it contains any real lime juice.
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;TRUE;;It's a good tasting low cal mixer. You do not have to buy expensive tequila for it to taste good.
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;TRUE;;Low price,great taste
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;TRUE;;Love the taste. Very good.
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;TRUE;;Good refreshing drink and taste great with taco dip! A true summer treat!
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;TRUE;;If the mouth of the bottle was bigger it would make it easier to get the product out after putting in the freezer. I'm sure other people do this making large batches. Once the tequila is mixed in, the mix melts quickly so placing in the freezer would speed up the process IF you could then get it out. Why only 4 stars.
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;TRUE;;Tastes great!
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;TRUE;;Tastes great
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;TRUE;;since I started using this product cant hardly drink a margarita made with high calorie mixers. fortunately more folks in my Walmart area are also starting to use and now our local Walmart rarely doesn't have it....
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;TRUE;;Taste great. But never enough in stock at the stores
Jose Cuervo;4.0 in x 12.0 in x 4.0 in;Jose Cuervo174 Light Margarita Mix - 1.75l Bottle;;TRUE;;This is a great product to beat the gain weight vs. no cold Margaritas in the Summer battle ! Good flavor and no calories. I usually squeeze a lime into the pitcher and they taste great !
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2017-05-18T00:00:00.000Z;sí;5;I cannot find this in the stores, so glad Jet has it. This review was collected as part of a promotion.
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2017-05-08T00:00:00.000Z;sí;5;My husband and I love the unique taste of this margarita mix.. Jet was the only place that offered this mix at a grate price.... The delivery was fast. We will continue to order from jet.. This review was collected as part of a promotion.
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2017-04-05T00:00:00.000Z;sí;5;Add tequila or just seltzer and a slice of fresh lime to make a virgin margarita. It's great both ways! Perfect for summer entertaining! sweepstakes This review was collected as part of a promotion.
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2017-06-02T00:00:00.000Z;sí;5;By far the best mixer I have had the pleasure of tasting! Perfectly balanced sweet, tart, and citrus notes. It was so popular at a gathering that it didn't last past 30 minutes.
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2017-03-25T00:00:00.000Z;sí;5;Excellent taste. No high fructose corn syrup.
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2017-01-02T00:00:00.000Z;sí;5;Im a very picky Margarita drinker, I always make my own lime juice mix, but I decided to give this a try, and to tell you the Truth, the margaritas were awesome, not too sweet not to tart....taste really good!!!! I would buy again to make large batches.
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2016-11-26T00:00:00.000Z;sí;5;Some of the best tasting Margarita mix I have used. Highly recommend.
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2016-11-22T00:00:00.000Z;sí;5;This is the best margarita mix - not too sweet, everytime I host a party I serve this and people LOVE my margaritas!
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2016-08-14T00:00:00.000Z;no;1;Bought this for my parents. They said it was awful and tasted very chemical. They love margaritas, so I bought this after reading reviews. Won't do that again!
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2016-06-30T00:00:00.000Z;sí;5;We bought our first bottle of Powell Mahoney margarita mix locally and decided it was the very best mix we ever had. Hard to find in local shops. Glad we found it on Amazon. All natural ingredients and hand crafted
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2016-06-16T00:00:00.000Z;sí;5;This is an excellent pre made mixer, without artificial taste. However, it is available in my grocery store for about half this price!
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2016-06-13T00:00:00.000Z;sí;5;Tastes pretty good but you pay for it- too lazy to make my own mix fresh
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2016-06-06T00:00:00.000Z;sí;5;This margarita mix tastes soooo good :-) it's not too sweet unlike other brands. You don't need to add anything, just your tequila of choice and you're good to go.
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2016-05-03T00:00:00.000Z;sí;5;one of the best but it takes to long to get
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2015-11-21T00:00:00.000Z;sí;5;Great natural margarita mix!
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2015-08-30T00:00:00.000Z;sí;5;Great margarita mix ad service
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2015-08-18T00:00:00.000Z;sí;5;Very good mix!!
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2015-08-09T00:00:00.000Z;sí;4;Great margarita
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2015-07-18T00:00:00.000Z;no;1;Don't waste your money. Over-rated, over-priced. You could make your own by looking up an online recipe and wouldn't be able to tell the difference.
Powell Mahoney;3.0 in x 3.0 in x 11.3 in;Powell Mahoney174 Margarita - 750ml Bottle;2015-01-30T00:00:00.000Z;sí;5;Do you love margaritas They are among the most popular adult beverages in America and many people rank them as their favorite alcoholic beverage of all. The right tequila can make a noticeable difference when mixing up a margarita, but the right mixer is important as well. And one of the best mixers available is Power Mahoney Margarita.I just got to know Powell Mahoney recently and I have been singing its praises ever since. This mix is every bit as delicious as the others in the Powell Mahoney lineup thanks in no small part to the all- natural ingredients used in the process. Have you taken a good look at the ingredients used in other mixers They're enough to make even the most tolerant person cringe. Even a really good tequila often cannot mask the taste of a bad mixer and I can think of many mixed drinks that I could barely finish due to a less-than-pleasant mixer base.With Powell Mahnoey Margarita mixer, you get the great, natural taste you desire with a good balance between the sweet and the sour. Pour a little into a glass and taste it all by itself. You will notice flavors of lime and a little bit of orange with an overall taste that leans toward the sour side but one that seems just right to match with a fine tequila. The taste is even good enough that some people might enjoy this mixer served with non- alcoholic combinations like soda water and even on the rocks with nothing added.Margaritas are popular drinks but even your favorite drink can lose its appeal if it contains a weak ingredient. With Powell Mahoney Margarita mixer, you get the great, natural, fresh citrus flavor that makes for the perfect mixed drink. Buy a bottle from this Vermont- based company and fall in love with your margarita, all over again.
